Date Added,Business Name,Niche,City,Channel,WhatsApp/Phone,Website/Link,Rating,Reviews,Status,Last Contact,Next Follow-Up,Est. Value (₹/mo),Notes
2026-06-28,Chisel Dental Clinic,Clinic/Dental,Bengaluru,WhatsApp,+919972117009,https://www.chiseldental.co.in/,4.7,2860,New,,2026-06-29,20000,2800+ reviews = very high volume. Priority.
2026-06-28,Dentick Dental Care,Clinic/Dental,Bengaluru,WhatsApp,+919353845416,https://dentickdentalcare.in/,4.9,489,New,,2026-06-29,20000,Multi-speciality. Strong fit.
2026-06-28,DermaClinix,Clinic/Derma,New Delhi,WhatsApp,+918882227080,https://www.dermaclinix.in/,4.6,450,New,,2026-06-29,20000,Hair transplant clinic — high ticket.
2026-06-28,Dr Suruchi Puri,Clinic/Derma,Delhi,WhatsApp,+919868080340,https://www.drsuruchipurimakeovers.com/,4.6,1505,New,,2026-06-29,20000,1500+ reviews. High inbound volume. Priority.
2026-06-28,Dr. Jyoti Gupta,Clinic/Derma,New Delhi,WhatsApp,+919999739066,https://www.drjyotigupta.com/,4.9,729,New,,2026-06-29,20000,South Delhi skin/hair clinic.
2026-06-28,Dr Lipy Gupta,Clinic/Derma,New Delhi,WhatsApp,+919811728073,https://drlipygupta.com/,4.8,4154,New,,2026-06-29,20000,4000+ reviews — massive volume. Top priority.
2026-06-28,Walk 2 Dreams Home LLP,Real Estate,Mumbai,WhatsApp,+919920048811,https://walk2dreamshomellp.com/,5.0,143,New,,2026-06-29,25000,Agency. 5.0 rating.
2026-06-28,Fortune Real Estate Agency,Real Estate,Mumbai,WhatsApp,+919892602882,,4.9,372,New,,2026-06-29,25000,370+ reviews. No site — pitch site + AI agent.
2026-06-28,Wave Property,Real Estate,Mumbai,Website,,https://www.waveproperty.in/,4.9,79,New,,2026-06-29,25000,Luxury Andheri homes. Contact via site/IG.
2026-06-28,The Bangalore Real Estate Co.,Real Estate,Bengaluru,WhatsApp,+918049457777,http://www.blrrealestate.com/,4.8,100,New,,2026-06-29,25000,Consultant.
2026-06-28,Roof 360 Real Estate,Real Estate,Bengaluru,WhatsApp,+919845022178,http://www.roof360.in/,4.9,94,New,,2026-06-29,25000,Strong rating.
2026-06-28,BrokerInBlue,Real Estate,Bengaluru,WhatsApp,+917760947777,https://brokerinblue.com/,4.7,232,New,,2026-06-29,25000,Professional brokers — likely many leads.
2026-06-28,Rebridz Realtors,Real Estate,Hyderabad,WhatsApp,+918074246557,https://rebridz.com/,4.7,120,New,,2026-06-29,25000,Consultant.
2026-06-28,Prop Mission Pvt Ltd,Real Estate,Hyderabad,WhatsApp,+919573944946,https://propmission.com/,4.8,90,New,,2026-06-29,25000,Consultant.
2026-06-28,Hyderabad Property Consultant,Real Estate,Hyderabad,WhatsApp,+916281245149,https://www.hyderabadpropertyconsultants.com/,5.0,10,New,,2026-06-29,25000,Smaller — owner likely answers directly.
2026-06-28,Vikas Real Estate (Nangia),Real Estate,New Delhi,WhatsApp,+919871777201,https://residentialplotjewar.com/,4.9,57,New,,2026-06-29,25000,Plots Jewar/Noida.
2026-06-28,Royale Realtors India,Real Estate,New Delhi,WhatsApp,+919818312077,http://www.royalerealtorsindia.com/,4.7,45,New,,2026-06-29,25000,Agency.
2026-06-28,BEST PROPERTIES Consultant,Real Estate,New Delhi,WhatsApp,+919211510427,https://youtube.com/@bestproperties101,4.8,134,New,,2026-06-29,25000,Active on YouTube — marketing-savvy.
2026-06-28,Vishesh Properties,Real Estate,Delhi,WhatsApp,+918766232316,https://propertyyy.com/,4.9,111,New,,2026-06-29,25000,Consultant.
2026-06-28,Life Coach Manjiree,Coach/Life,Mumbai,WhatsApp,+919987748028,http://lifecoachmanjiree.com/,4.9,18,New,,2026-06-29,15000,Solo coach — fast decision.
2026-06-28,Dr Krishna Athal (Life & Exec Coach),Coach/Life,Mumbai,WhatsApp,+919819984575,http://drkrishnaathal.com/,4.9,210,New,,2026-06-29,18000,210 reviews — established. DM-to-call fit.
2026-06-28,Farzana Suri Victory Coach,Coach/Life,Mumbai,Website,,http://www.farzanasuri.com/,5.0,43,New,,2026-06-29,15000,No phone listed — contact via site/IG.
2026-06-28,Life Coach Shilpa Singh,Coach/Life,Mumbai,Website,,https://lifecoachshilpa.com/,4.8,180,New,,2026-06-29,15000,180 reviews. Contact via site/IG.
2026-06-28,K.Srikanth Personal Fitness Trainer,Coach/Fitness,Hyderabad,WhatsApp,+919502245907,,5.0,287,New,,2026-06-29,12000,287 reviews — busy trainer.
2026-06-28,Shiva Personal Trainer,Coach/Fitness,Hyderabad,WhatsApp,+917032893894,,5.0,219,New,,2026-06-29,12000,Manikonda. Solo — fast yes.
2026-06-28,Sanju Fitness Coach,Coach/Fitness,Hyderabad,WhatsApp,+919030402343,,5.0,61,New,,2026-06-29,12000,Freelance trainer.
2026-06-28,Fitness Coach Srinu,Coach/Fitness,Hyderabad,WhatsApp,+919652712704,,4.7,29,New,,2026-06-29,12000,Solo — easy to reach.
